#;nombre;gestora;tipo;TER%;beta;alfa10%;dq3€;dq5€;dq10€;años;proj10
1;Santander GO RV Norteamerica A;Santander;Bancario;2.11;1.6;-20.99;50686;69218;90525;5.0;True
2;BBVA Megatendencia Demografía;BBVA;Bancario;1.98;1.13;-14.53;37569;54396;79203;10.0;False
3;Unicaja Renta Variable USA A;Unicaja;Bancario;2.35;1.18;-10.14;27448;41420;65684;4.9;True
4;Santander Future Wealth A;Santander;Bancario;2.18;1.14;-9.75;26496;40133;64160;5.0;True
5;True Value FI;True Value;Independiente;1.46;1.05;-8.81;24182;36960;60259;10.0;False
6;Mediolanum BB Global Leaders Fund LA;Mediolanum;Bancario;3.02;1.04;-8.67;23815;36451;59615;5.0;True
7;B&H Acciones C FI;Buy&Hold;Independiente;1.04;1.12;-8.31;22918;35198;58006;10.0;False
8;Sabadell Europa Bolsa Futuro Base;Sabadell;Bancario;2.21;1.0;-8.05;22252;34262;56785;10.0;False
9;Bankinter Pequeñas Compañías Europa R;Bankinter;Bancario;1.71;1.1;-7.6;21115;32652;54643;10.0;False
10;Santander Acciones Latinoamericanas A;Santander;Bancario;2.67;0.85;-6.77;18957;29553;50373;10.0;False
11;Kutxabank Bolsa Small & Mid Caps Estándar;Kutxabank;Bancario;1.5;0.88;-6.62;18580;29007;49600;10.0;False
12;CaixaBank Bolsa Selección Europa Estándar;CaixaBank;Bancario;3;0.94;-6.43;18072;28266;48542;10.0;False
13;Mediolanum BB European Collection L;Mediolanum;Bancario;2.81;0.87;-6.4;17992;28151;48377;10.0;False
14;CaixaBank Bolsa Gestión Europa Estándar;CaixaBank;Bancario;2.49;0.91;-6.34;17838;27925;48051;10.0;False
15;Ibercaja Bolsa Europa A;Ibercaja;Bancario;1.74;0.81;-6.07;17116;26866;46515;10.0;False
16;Abanca Renta Variable Crecimiento Minorista;Abanca;Bancario;1.73;0.92;-6.01;16975;26659;46210;10.0;False
17;BBVA Megatendencia Planeta Tierra ISR A;BBVA;Bancario;1.92;0.85;-5.98;16900;26548;46049;10.0;False
18;Santander Sostenible Acciones A;Santander;Bancario;1.7;0.83;-5.96;16848;26472;45936;5.0;True
